data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/14/21 16:00,23.357,24.1353,17.7365,20.1456,20.7542,21.7971
11/14/21 17:00,23.4458,23.9293,17.4631,18.5053,20.5475,20.9654
11/14/21 18:00,20.6957,21.8755,18.4214,18.6297,20.0148,19.4034
11/14/21 19:00,21.1515,20.3084,18.1932,18.7098,20.8179,19.8
11/14/21 20:00,20.875,17.6036,15.9963,20.2279,19.9842,18.839
11/14/21 21:00,24.1739,20.2329,16.8144,18.6494,18.2452,17.2614
11/14/21 22:00,23.3875,22.7232,17.0049,18.7572,17.7422,17.6308
11/14/21 23:00,19.7517,22.005,14.7497,19.1972,17.4633,18.0776
11/15/21 0:00,21.7162,21.9211,17.1833,21.656,18.0084,19.8915
11/15/21 1:00,22.5441,22.613,17.2097,19.2106,19.9273,20.437
11/15/21 2:00,21.0405,20.908,15.5377,18.0975,18.7692,19.1822
11/15/21 3:00,21.3938,21.2433,15.8963,18.1651,18.3853,18.997
11/15/21 4:00,21.0756,20.2242,15.3299,18.1983,18.1138,18.4122
11/15/21 5:00,20.1469,19.7254,15.5406,16.7907,18.2444,18.3396
11/15/21 6:00,24.3881,19.8682,15.9002,18.3045,19.1668,19.5266
11/15/21 7:00,24.9668,20.5777,15.4684,24.874,18.755,19.0056
11/15/21 8:00,25.7454,23.098,16.4258,20.7105,23.3423,21.0172
11/15/21 9:00,30.8543,22.4783,17.0861,19.3192,25.268,22.9225
11/15/21 10:00,30.5062,23.2523,18.2314,19.4238,43.8665,24.8979
11/15/21 11:00,27.1305,23.7092,18.7444,20.2926,31.1954,27.8694
11/15/21 12:00,29.4503,26.2047,21.2512,34.4097,26.3508,30.1935
11/15/21 13:00,28.3598,25.1176,20.5022,31.4913,25.7968,27.5051
11/15/21 14:00,25.712,25.0794,22.1504,23.513,26.7416,30.4141
11/15/21 15:00,28.7132,26.4641,24.8318,29.0208,27.5377,31.4209
11/15/21 16:00,32.3715,27.5529,20.9685,31.4672,28.9049,31.2412
11/15/21 17:00,27.2273,26.1244,20.123,35.781,28.161,31.4729
11/15/21 18:00,23.4419,25.2266,18.2808,43.9474,23.5798,28.3506
11/15/21 19:00,22.8595,24.6708,19.8167,37.5432,21.8305,28.8562
11/15/21 20:00,22.671,25.9078,26.5108,37.126,20.5385,21.8268
11/15/21 21:00,25.4897,28.5661,26.4393,27.9782,21.673,25.0759
11/15/21 22:00,30.9912,30.5525,26.4274,34.5126,23.8244,27.359
11/15/21 23:00,29.8472,30.2848,26.527,39.0801,24.8427,28.1428
11/16/21 0:00,29.7182,29.2409,25.5733,36.1844,27.1366,30.9025
11/16/21 1:00,28.8005,28.7608,25.4619,33.5973,29.4102,30.7158
11/16/21 2:00,28.8499,26.9348,24.127,35.4519,28.1594,31.6269
11/16/21 3:00,27.4191,26.276,22.4858,32.075,29.2625,37.2381
11/16/21 4:00,25.3594,25.4487,24.91,30.3083,31.6583,28.5633
11/16/21 5:00,24.8213,24.9874,25.8986,30.6605,30.797,26.3357
11/16/21 6:00,28.1448,28.8391,24.9499,30.2806,31.3542,29.698
11/16/21 7:00,32.113,34.0116,30.0842,39.726,31.7186,33.6643
11/16/21 8:00,34.803,36.7723,43.4247,40.121,33.0187,36.458
11/16/21 9:00,37.8326,42.141,42.1833,36.5236,30.8491,38.3766
11/16/21 10:00,36.4909,37.738,37.2866,33.1872,28.8736,38.9766
11/16/21 11:00,36.1703,35.9658,40.1965,32.4742,30.2218,34.8684
11/16/21 12:00,38.0128,31.8181,31.2721,34.9754,29.8037,31.8084
11/16/21 13:00,29.4325,29.72,23.8465,40.1167,28.3977,31.6392
11/16/21 14:00,35.2699,30.1211,26.0524,39.2147,31.7231,27.095
11/16/21 15:00,30.3561,30.0884,26.8044,41.5441,27.7096,25.8902
11/16/21 16:00,30.6526,32.1336,25.6172,30.3252,27.1622,27.0048
11/16/21 17:00,31.2185,31.6107,24.5292,35.7968,26.3337,27.8452
11/16/21 18:00,30.4277,31.7459,25.7504,31.2383,28.0607,28.8878
11/16/21 19:00,30.9723,34.6059,28.8047,41.2193,29.4518,30.7834
